"TIME","GEO","NACE_R2","WSTATUS","WORKTIME","UNIT","Value","Flag and Footnotes"
"2010","Belgium","Total - all NACE activities","Employed persons","Total","Thousand","4,488.7",""
"2010","Bulgaria","Total - all NACE activities","Employed persons","Total","Thousand","3,075.3","b"
"2010","Czech Republic","Total - all NACE activities","Employed persons","Total","Thousand","4,885.2",""
"2010","Denmark","Total - all NACE activities","Employed persons","Total","Thousand","2,706.1",""
"2010","Germany (until 1990 former territory of the FRG)","Total - all NACE activities","Employed persons","Total","Thousand","37,993.4","b"
"2010","Estonia","Total - all NACE activities","Employed persons","Total","Thousand","568.0",""
"2010","Ireland","Total - all NACE activities","Employed persons","Total","Thousand","1,882.2",""
"2010","Greece","Total - all NACE activities","Employed persons","Total","Thousand","4,389.8",""
"2010","Spain","Total - all NACE activities","Employed persons","Total","Thousand","18,724.5",""
"2010","France","Total - all NACE activities","Employed persons","Total","Thousand","25,730.9",""
"2010","Croatia","Total - all NACE activities","Employed persons","Total","Thousand","1,690.2",""
"2010","Italy","Total - all NACE activities","Employed persons","Total","Thousand","22,526.9",""
"2010","Cyprus","Total - all NACE activities","Employed persons","Total","Thousand","395.2",""
"2010","Latvia","Total - all NACE activities","Employed persons","Total","Thousand","850.7",""
"2010","Lithuania","Total - all NACE activities","Employed persons","Total","Thousand","1,247.7",""
"2010","Luxembourg","Total - all NACE activities","Employed persons","Total","Thousand","220.8",""
"2010","Hungary","Total - all NACE activities","Employed persons","Total","Thousand","3,732.4",""
"2010","Malta","Total - all NACE activities","Employed persons","Total","Thousand","162.6",""
"2010","Netherlands","Total - all NACE activities","Employed persons","Total","Thousand","8,370.2","b"
"2010","Austria","Total - all NACE activities","Employed persons","Total","Thousand","4,016.7",""
"2010","Poland","Total - all NACE activities","Employed persons","Total","Thousand","15,473.1","b"
"2010","Portugal","Total - all NACE activities","Employed persons","Total","Thousand","4,898.4",""
"2010","Romania","Total - all NACE activities","Employed persons","Total","Thousand","8,712.8","b"
"2010","Slovenia","Total - all NACE activities","Employed persons","Total","Thousand","966.0",""
"2010","Slovakia","Total - all NACE activities","Employed persons","Total","Thousand","2,317.5",""
"2010","Finland","Total - all NACE activities","Employed persons","Total","Thousand","2,447.5",""
"2010","Sweden","Total - all NACE activities","Employed persons","Total","Thousand","4,523.7",""
"2010","United Kingdom","Total - all NACE activities","Employed persons","Total","Thousand","29,125.0",""
"2010","Iceland","Total - all NACE activities","Employed persons","Total","Thousand","165.8",""
"2010","Norway","Total - all NACE activities","Employed persons","Total","Thousand","2,500.8",""
"2010","Switzerland","Total - all NACE activities","Employed persons","Total","Thousand","4,280.5",""
"2010","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Employed persons","Total","Thousand","637.8",""
"2010","Turkey","Total - all NACE activities","Employed persons","Total","Thousand","22,592.7",""
"2011","Belgium","Total - all NACE activities","Employed persons","Total","Thousand","4,509.3","b"
"2011","Bulgaria","Total - all NACE activities","Employed persons","Total","Thousand","2,965.2","b"
"2011","Czech Republic","Total - all NACE activities","Employed persons","Total","Thousand","4,872.7","b"
"2011","Denmark","Total - all NACE activities","Employed persons","Total","Thousand","2,702.7",""
"2011","Germany (until 1990 former territory of the FRG)","Total - all NACE activities","Employed persons","Total","Thousand","38,787.2","b"
"2011","Estonia","Total - all NACE activities","Employed persons","Total","Thousand","603.2",""
"2011","Ireland","Total - all NACE activities","Employed persons","Total","Thousand","1,849.1",""
"2011","Greece","Total - all NACE activities","Employed persons","Total","Thousand","4,054.3",""
"2011","Spain","Total - all NACE activities","Employed persons","Total","Thousand","18,421.4",""
